full_name,position,latest_team,rec_bid_dyn
Ollie Watkins,FWD,Aston Villa,36.91
Alexander Isak,FWD,Newcastle,35.93
Jarrod Bowen,FWD,West Ham,35.88
Erling Haaland,FWD,Man City,35.42
Chris Wood,FWD,Nott'm Forest,33.01
Yoane Wissa,FWD,Brentford,31.47
Jean-Philippe Mateta,FWD,Crystal Palace,28.63
Dominic Solanke-Mitchell,FWD,Spurs,23.76
Nicolas Jackson,FWD,Chelsea,23.49
Mohamed Salah,MID,Liverpool,22.19
Raúl Jiménez Rodríguez,FWD,Fulham,21.94
Kai Havertz,FWD,Arsenal,21.19
Jordan Pickford,GK,Everton,21.03
Cole Palmer,MID,Chelsea,20.84
João Pedro Junqueira de Jesus,FWD,Chelsea,20.82
David Raya Martín,GK,Arsenal,20.68
Bryan Mbeumo,MID,Man Utd,20.26
Danny Welbeck,FWD,Brighton,19.32
André Onana,GK,Man Utd,17.93
Bernd Leno,GK,Fulham,16.74
Bruno Borges Fernandes,MID,Man Utd,16.23
Rasmus Højlund,FWD,Man Utd,15.9
Emiliano Martínez Romero,GK,Aston Villa,15.74
William Saliba,DEF,Arsenal,15.44
Virgil van Dijk,DEF,Liverpool,14.76
Alisson Becker,GK,Liverpool,14.43
Joško Gvardiol,DEF,Man City,14.0
Ederson Santana de Moraes,GK,Man City,14.0
Matz Sels,GK,Nott'm Forest,13.98
Dean Henderson,GK,Crystal Palace,13.84
Matheus Santos Carneiro da Cunha,MID,Man Utd,13.65
Luis Díaz Marulanda,MID,Liverpool,13.32
Darwin Núñez Ribeiro,FWD,Liverpool,13.16
Jørgen Strand Larsen,FWD,Wolves,13.08
Robert Lynch Sánchez,GK,Chelsea,13.05
Rodrigo Muniz Carvalho,FWD,Fulham,12.83
José Malheiro de Sá,GK,Wolves,12.58
Morgan Gibbs-White,MID,Nott'm Forest,12.3
Liam Delap,FWD,Chelsea,12.19
Tyrick Mitchell,DEF,Crystal Palace,12.16
Bart Verbruggen,GK,Brighton,11.88
Norberto Bercique Gomes Betuncal,FWD,Everton,11.6
Fabian Schär,DEF,Newcastle,11.49
Antoine Semenyo,MID,Bournemouth,11.46
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,11.22
Son Heung-min,MID,Spurs,11.12
Bruno Guimarães Rodriguez Moura,MID,Newcastle,11.09
Nathan Collins,DEF,Brentford,10.69
Leandro Trossard,MID,Arsenal,10.56
Vitalii Mykolenko,DEF,Everton,10.56
Gabriel dos Santos Magalhães,DEF,Arsenal,10.05
Declan Rice,MID,Arsenal,10.03
Dan Burn,DEF,Newcastle,10.01
Eberechi Eze,MID,Crystal Palace,9.97
Daniel Muñoz Mejía,DEF,Crystal Palace,9.89
Nick Pope,GK,Newcastle,9.89
Alex Iwobi,MID,Fulham,9.77
James Tarkowski,DEF,Everton,9.76
Anthony Elanga,MID,Newcastle,9.7
Anthony Gordon,MID,Newcastle,9.65
Rayan Aït-Nouri,DEF,Man City,9.51
Alphonse Areola,GK,West Ham,9.44
Milos Kerkez,DEF,Liverpool,9.42
Murillo Costa dos Santos,DEF,Nott'm Forest,9.36
Antonee Robinson,DEF,Fulham,9.33
Guglielmo Vicario,GK,Spurs,9.26
Pedro Porro Sauceda,DEF,Spurs,9.24
Martin Ødegaard,MID,Arsenal,8.75
Justin Kluivert,MID,Bournemouth,8.27
Bukayo Saka,MID,Arsenal,8.21
Ezri Konsa Ngoyo,DEF,Aston Villa,7.97
Phil Foden,MID,Man City,7.92
Diogo Dalot Teixeira,DEF,Man Utd,7.92
Eddie Nketiah,FWD,Crystal Palace,7.77
Brennan Johnson,MID,Spurs,7.75
Marc Cucurella Saseta,DEF,Chelsea,7.62
Marc Guéhi,DEF,Crystal Palace,7.62
Jarrad Branthwaite,DEF,Everton,7.3
Ola Aina,DEF,Nott'm Forest,7.14
Aaron Ramsdale,GK,Newcastle,7.12
Dominik Szoboszlai,MID,Liverpool,7.08
Levi Samuels Colwill,DEF,Chelsea,6.99
Tomáš Souček,MID,West Ham,6.91
Jacob Murphy,MID,Newcastle,6.88
Illia Zabarnyi,DEF,Bournemouth,6.75
Gabriel Fernando de Jesus,FWD,Arsenal,6.74
Richarlison de Andrade,FWD,Spurs,6.54
Aaron Wan-Bissaka,DEF,West Ham,6.52
Keane Lewis-Potter,DEF,Brentford,6.47
Morgan Rogers,MID,Aston Villa,6.19
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,6.17
Dejan Kulusevski,MID,Spurs,6.12
Alexis Mac Allister,MID,Liverpool,5.83
James Maddison,MID,Spurs,5.75
Enzo Fernández,MID,Chelsea,5.71
Gabriel Martinelli Silva,MID,Arsenal,5.63
Mitoma Kaoru,MID,Brighton,5.59
Mohammed Kudus,MID,Spurs,5.31
Rúben dos Santos Gato Alves Dias,DEF,Man City,5.24
Ibrahima Konaté,DEF,Liverpool,4.98
Lucas Digne,DEF,Aston Villa,4.93
Maximilian Kilman,DEF,West Ham,4.92
Andrew Robertson,DEF,Liverpool,4.63
Tino Livramento,DEF,Newcastle,4.6
Joshua Zirkzee,FWD,Man Utd,4.49
Youri Tielemans,MID,Aston Villa,4.46
Alejandro Garnacho Ferreyra,MID,Man Utd,4.33
Neco Williams,DEF,Nott'm Forest,4.17
Evan Ferguson,FWD,Brighton,4.13
Toti Gomes,DEF,Wolves,4.07
Jan Paul van Hecke,DEF,Brighton,4.05
Cody Gakpo,MID,Liverpool,3.97
Emerson Palmieri dos Santos,DEF,West Ham,3.7
Mikkel Damsgaard,MID,Brentford,3.49
Taiwo Awoniyi,FWD,Nott'm Forest,3.49
Kepa Arrizabalaga Revuelta,GK,Arsenal,3.47
Calvin Bassey,DEF,Fulham,3.15
Martin Dúbravka,GK,Burnley,3.13
Kevin Schade,MID,Brentford,2.98
Moisés Caicedo Corozo,MID,Chelsea,2.66
Dwight McNeil,MID,Everton,2.62
Lewis Hall,DEF,Newcastle,2.6
Joachim Andersen,DEF,Fulham,2.52
Callum Hudson-Odoi,MID,Nott'm Forest,2.45
Manuel Akanji,DEF,Man City,2.39
Christian Nørgaard,MID,Arsenal,2.38
Benjamin White,DEF,Arsenal,2.32
Nikola Milenković,DEF,Nott'm Forest,2.08
Matty Cash,DEF,Aston Villa,1.86
Callum Wilson,FWD,West Ham,1.81
Noni Madueke,MID,Arsenal,1.73
Odsonne Édouard,FWD,Crystal Palace,1.52
Pedro Lomba Neto,MID,Chelsea,1.41
Trevoh Chalobah,DEF,Chelsea,1.17
Niclas Füllkrug,FWD,West Ham,0.95
Kieran Trippier,DEF,Newcastle,0.9
Andreas Hoelgebaum Pereira,MID,Fulham,0.79
Marcus Rashford,MID,Man Utd,0.73
Idrissa Gana Gueye,MID,Everton,0.71
Pervis Estupiñán Tenorio,DEF,Brighton,0.71
Chris Richards,DEF,Crystal Palace,0.64
John McGinn,MID,Aston Villa,0.63
Pau Torres,DEF,Aston Villa,0.46
Norberto Murara Neto,GK,Bournemouth,0.34
João Victor Gomes da Silva,MID,Wolves,0.33
Cristian Romero,DEF,Spurs,0.21
Mateo Kovačić,MID,Man City,0.06
Enes Ünal,FWD,Bournemouth,0.06
Mads Hermansen,GK,West Ham,0.05
Matt Doherty,DEF,Wolves,0.02
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0
Elliot Anderson,MID,Nott'm Forest,0.0
Lewis Cook,MID,Bournemouth,0.0
Ryan Gravenberch,MID,Liverpool,0.0
Harvey Barnes,MID,Newcastle,0.0
Dango Ouattara,MID,Bournemouth,0.0
Marcus Tavernier,MID,Bournemouth,0.0
Jack Harrison,MID,Leeds,0.0
Ryan Christie,MID,Bournemouth,0.0
Vitaly Janelt,MID,Brentford,0.0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,0.0
Jérémy Doku,MID,Man City,0.0
Emile Smith Rowe,MID,Fulham,0.0
Amad Diallo,MID,Man Utd,0.0
Sandro Tonali,MID,Newcastle,0.0
Pape Matar Sarr,MID,Spurs,0.0
James Ward-Prowse,MID,West Ham,0.0
Adama Traoré Diarra,MID,Fulham,0.0
Carlos Baleba,MID,Brighton,0.0
Ismaïla Sarr,MID,Crystal Palace,0.0
Harry Wilson,MID,Fulham,0.0
Jack Hinshelwood,MID,Brighton,0.0
Will Hughes,MID,Crystal Palace,0.0
Jean-Ricner Bellegarde,MID,Wolves,0.0
Simon Adingra,MID,Sunderland,0.0
Ryan Yates,MID,Nott'm Forest,0.0
Sander Berge,MID,Fulham,0.0
Jefferson Lerma Solís,MID,Crystal Palace,0.0
Ross Barkley,MID,Aston Villa,0.0
Curtis Jones,MID,Liverpool,0.0
Amadou Onana,MID,Aston Villa,0.0
Leon Bailey,MID,Aston Villa,0.0
Facundo Buonanotte,MID,Brighton,0.0
Nicolás Domínguez,MID,Nott'm Forest,0.0
Saša Lukić,MID,Fulham,0.0
Malo Gusto,DEF,Chelsea,0.0
James Garner,MID,Everton,0.0
Iliman Ndiaye,MID,Everton,0.0
Tosin Adarabioyo,DEF,Chelsea,0.0
Rico Lewis,DEF,Man City,0.0
Adam Smith,DEF,Bournemouth,0.0
Timothy Castagne,DEF,Fulham,0.0
Maxence Lacroix,DEF,Crystal Palace,0.0
Lewis Dunk,DEF,Brighton,0.0
Sean Longstaff,MID,Leeds,0.0
Kobbie Mainoo,MID,Man Utd,0.0
Boubacar Kamara,MID,Aston Villa,0.0
Ethan Pinnock,DEF,Brentford,0.0
Matheus Nunes,DEF,Man City,0.0
Hwang Hee-chan,MID,Wolves,0.0
Carlos Henrique Casimiro,MID,Man Utd,0.0
Destiny Udogie,DEF,Spurs,0.0
Edson Álvarez Velázquez,MID,West Ham,0.0
Jacob Ramsey,MID,Aston Villa,0.0
Jadon Sancho,MID,Man Utd,0.0
Yves Bissouma,MID,Spurs,0.0
Jurriën Timber,DEF,Arsenal,0.0
Harry Maguire,DEF,Man Utd,0.0
Mathias Jensen,MID,Brentford,0.0
İlkay Gündoğan,MID,Man City,0.0
Joël Veltman,DEF,Brighton,0.0
Tyler Adams,MID,Bournemouth,0.0
Sávio Moreira de Oliveira,MID,Man City,0.0
Yankuba Minteh,MID,Brighton,0.0
Rodrigo Bentancur,MID,Spurs,0.0
Noussair Mazraoui,DEF,Man Utd,0.0
Wilson Odobert,MID,Spurs,0.0
Konstantinos Mavropanos,DEF,West Ham,0.0
Adam Wharton,MID,Crystal Palace,0.0
James McAtee,MID,Man City,0.0
Georginio Rutter,MID,Brighton,0.0
Kristoffer Ajer,DEF,Brentford,0.0
Marcos Senesi Barón,DEF,Bournemouth,0.0
Lisandro Martínez,DEF,Man Utd,0.0
Yehor Yarmoliuk,MID,Brentford,0.0
André Trindade da Costa Neto,MID,Wolves,0.0
Lesley Ugochukwu,MID,Burnley,0.0
Mikel Merino Zazón,MID,Arsenal,0.0
Yasin Ayari,MID,Brighton,0.0
Mads Roerslev Rasmussen,DEF,Brentford,0.0
Micky van de Ven,DEF,Spurs,0.0
Kenny Tete,DEF,Fulham,0.0
Jakub Kiwior,DEF,Arsenal,0.0
Julio Enciso Espínola,MID,Brighton,0.0
Tom Cairney,MID,Fulham,0.0
Rodrigo 'Rodri' Hernandez Cascante,MID,Man City,0.0
Christopher Nkunku,MID,Chelsea,0.0
Nathan Aké,DEF,Man City,0.0
Santiago Ignacio Bueno,DEF,Wolves,0.0
Sepp van den Berg,DEF,Brentford,0.0
Harvey Elliott,MID,Liverpool,0.0
Kyle Walker-Peters,DEF,West Ham,0.0
Matthijs de Ligt,DEF,Man Utd,0.0
David Brooks,MID,Bournemouth,0.0
Endo Wataru,MID,Liverpool,0.0
Jack Grealish,MID,Man City,0.0
Kyle Walker,DEF,Burnley,0.0
Issa Diop,DEF,Fulham,0.0
Joe Willock,MID,Newcastle,0.0
Manuel Ugarte Ribeiro,MID,Man Utd,0.0
Oleksandr Zinchenko,DEF,Arsenal,0.0
Archie Gray,MID,Spurs,0.0
Omar Marmoush,MID,Man City,0.0
Álex Moreno Lopera,DEF,Aston Villa,0.0
Ian Maatsen,DEF,Aston Villa,0.0
Ethan Nwaneri,MID,Arsenal,0.0
Ben Davies,DEF,Spurs,0.0
Daichi Kamada,MID,Crystal Palace,0.0
Adam Webster,DEF,Brighton,0.0
Tariq Lamptey,DEF,Brighton,0.0
Jake O'Brien,DEF,Everton,0.0
Konstantinos Tsimikas,DEF,Liverpool,0.0
Michael Keane,DEF,Everton,0.0
Jean-Clair Todibo,DEF,West Ham,0.0
Reece James,DEF,Chelsea,0.0
Alex Scott,MID,Bournemouth,0.0
Kalvin Phillips,MID,Man City,0.0
Djed Spence,DEF,Spurs,0.0
Conor Bradley,DEF,Liverpool,0.0
Caoimhín Kelleher,GK,Brentford,0.0
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,0.0
John Stones,DEF,Man City,0.0
Lucas Bergvall,MID,Spurs,0.0
Lewis Miley,MID,Newcastle,0.0
Marshall Munetsi,MID,Wolves,0.0
Harrison Reed,MID,Fulham,0.0
Joe Gomez,DEF,Liverpool,0.0
Igor Julio dos Santos de Paulo,DEF,Brighton,0.0
Mats Wieffer,MID,Brighton,0.0
Radu Drăgușin,DEF,Spurs,0.0
Mykhailo Mudryk,MID,Chelsea,0.0
Guido Rodríguez,MID,West Ham,0.0
Emmanuel Agbadou,DEF,Wolves,0.0
Matt O'Riley,MID,Brighton,0.0
Ibrahim Sangaré,MID,Nott'm Forest,0.0
Sven Botman,DEF,Newcastle,0.0
Nathaniel Clyne,DEF,Crystal Palace,0.0
Philip Billing,MID,Bournemouth,0.0
João Pedro Ferreira da Silva,MID,Nott'm Forest,0.0
Axel Tuanzebe,DEF,Burnley,0.0
Mason Mount,MID,Man Utd,0.0
Mathys Tel,MID,Spurs,0.0
Stefan Ortega Moreno,GK,Man City,0.0
Myles Lewis-Skelly,DEF,Arsenal,0.0
Tyrone Mings,DEF,Aston Villa,0.0
Cheick Doucouré,MID,Crystal Palace,0.0
Antony dos Santos,MID,Man Utd,0.0
William Osula,FWD,Newcastle,0.0
Carlos Alcaraz Durán,MID,Everton,0.0
Luis Sinisterra Lucumí,MID,Bournemouth,0.0
Roméo Lavia,MID,Chelsea,0.0
Sam Johnstone,GK,Wolves,0.0
Crysencio Summerville,MID,West Ham,0.0
Brajan Gruda,MID,Brighton,0.0
Riccardo Calafiori,DEF,Arsenal,0.0
Armando Broja,FWD,Burnley,0.0
Nico González Iglesias,MID,Man City,0.0
Ryan Sessegnon,MID,Fulham,0.0
Wesley Fofana,DEF,Chelsea,0.0
Frank Onyeka,MID,Brentford,0.0
Reiss Nelson,MID,Arsenal,0.0
Emil Krafth,DEF,Newcastle,0.0
Willy Boly,DEF,Nott'm Forest,0.0
Tim Iroegbunam,MID,Everton,0.0
Leny Yoro,DEF,Man Utd,0.0
Felipe Rodrigues da Silva,DEF,Nott'm Forest,0.0
Nathan Patterson,DEF,Everton,0.0
Zeki Amdouni,FWD,Burnley,0.0
Rodrigo Martins Gomes,DEF,Wolves,0.0
Jason Steele,GK,Brighton,0.0
Lyle Foster,FWD,Burnley,0.0
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,0.0
Benoît Badiashile Mukinayi,DEF,Chelsea,0.0
Mikey Moore,MID,Spurs,0.0
Justin Devenny,MID,Crystal Palace,0.0
Patrick Dorgu,DEF,Man Utd,0.0
Diego Gómez Amarilla,MID,Brighton,0.0
Boubacar Traoré,MID,Wolves,0.0
Kevin Danso,DEF,Spurs,0.0
Ollie Scarles,DEF,West Ham,0.0
Josh Cullen,MID,Burnley,0.0
Fábio Freitas Gouveia Carvalho,MID,Brentford,0.0
James Milner,MID,Brighton,0.0
Luke Shaw,DEF,Man Utd,0.0
Jayden Bogle,DEF,Leeds,0.0
Solly March,MID,Brighton,0.0
Nico O'Reilly,DEF,Man City,0.0
Michael Kayode,DEF,Brentford,0.0
Jacob Bruun Larsen,MID,Burnley,0.0
James Hill,DEF,Bournemouth,0.0
Mark Travers,GK,Everton,0.0
Albert Sambi Lokonga,MID,Arsenal,0.0
Séamus Coleman,DEF,Everton,0.0
Donyell Malen,MID,Aston Villa,0.0
Abdukodir Khusanov,DEF,Man City,0.0
Nayef Aguerd,DEF,West Ham,0.0
Julián Araujo Zúñiga,DEF,Bournemouth,0.0
Wes Foderingham,GK,West Ham,0.0
Luca Koleosho,MID,Burnley,0.0
James Trafford,GK,Man City,0.0
Ferdi Kadıoğlu,DEF,Brighton,0.0
Lamare Bogarde,DEF,Aston Villa,0.0
Đorđe Petrović,GK,Bournemouth,0.0
Yerson Mosquera Valdelamar,DEF,Wolves,0.0
Kiernan Dewsbury-Hall,MID,Everton,0.0
Jamaal Lascelles,DEF,Newcastle,0.0
Jordan Beyer,DEF,Burnley,0.0
Maxime Estève,DEF,Burnley,0.0
Filip Jörgensen,GK,Chelsea,0.0
Jorge Cuenca Barreno,DEF,Fulham,0.0
Antonín Kinský,GK,Spurs,0.0
Harry Amass,DEF,Man Utd,0.0
Andrés García,DEF,Aston Villa,0.0
Igor Thiago Nascimento Rodrigues,FWD,Brentford,0.0
Daniel Bentley,GK,Wolves,0.0
Rico Henry,DEF,Brentford,0.0
Matheus França de Oliveira,MID,Crystal Palace,0.0
Oscar Bobb,MID,Man City,0.0
Chido Obi,FWD,Man Utd,0.0
Matt Turner,GK,Nott'm Forest,0.0
Tyrique George,MID,Chelsea,0.0
Hugo Bueno López,DEF,Wolves,0.0
Connor Roberts,DEF,Burnley,0.0
Aaron Ramsey,MID,Burnley,0.0
Youssef Ramalho Chermiti,FWD,Everton,0.0
Aaron Hickey,DEF,Brentford,0.0
Toby Collyer,MID,Man Utd,0.0
Andy Irving,MID,West Ham,0.0
Romain Esse,MID,Crystal Palace,0.0
Chris Mepham,DEF,Bournemouth,0.0
Mike Trésor Ndayishimiye,MID,Burnley,0.0
Josh Acheampong,DEF,Chelsea,0.0
Luis Guilherme Lira dos Santos,MID,West Ham,0.0
Altay Bayındır,GK,Man Utd,0.0
Hannes Delcroix,DEF,Burnley,0.0
Ayden Heaven,DEF,Man Utd,0.0
Josh King,MID,Fulham,0.0
Fábio Soares Silva,FWD,Wolves,0.0
Naouirou Ahamada,MID,Crystal Palace,0.0
Maxwel Cornet,MID,West Ham,0.0
Hjalmar Ekdal,DEF,Burnley,0.0
Joe Worrall,DEF,Burnley,0.0
Fábio Ferreira Vieira,MID,Arsenal,0.0
Tyler Fredricson,DEF,Man Utd,0.0
Paris Maghoma,MID,Brentford,0.0
Federico Chiesa,MID,Liverpool,0.0
Nathan Fraser,FWD,Wolves,0.0
Emiliano Buendía Stati,MID,Aston Villa,0.0
Marc Guiu Paz,FWD,Sunderland,0.0
Lewis Dobbin,MID,Aston Villa,0.0
Leon Chiwome,FWD,Wolves,0.0
Saša Kalajdžić,FWD,Wolves,0.0
Bryan Gil Salvatierra,MID,Spurs,0.0
Manor Solomon,MID,Spurs,0.0
Tyrell Malacia,DEF,Man Utd,0.0
Odysseas Vlachodimos,GK,Newcastle,0.0
Chadi Riad Dnanou,DEF,Crystal Palace,0.0
Roman Dixon,DEF,Everton,0.0
David Ozoh,MID,Crystal Palace,0.0
Jaidon Anthony,MID,Burnley,0.0
Yunus Emre Konak,MID,Brentford,0.0
Tawanda Chirewa,MID,Wolves,0.0
Hákon Rafn Valdimarsson,GK,Brentford,0.0
Dane Scarlett,FWD,Spurs,0.0
Hannibal Mejbri,MID,Burnley,0.0
Jesurun Rak-Sakyi,MID,Crystal Palace,0.0
Leander Dendoncker,MID,Aston Villa,0.0
Pedro Cardoso de Lima,DEF,Wolves,0.0
Lewis Orford,MID,West Ham,0.0
Harrison Armstrong,MID,Everton,0.0
Manuel Benson Hedilazio,MID,Burnley,0.0
Matt Targett,DEF,Newcastle,0.0
Brandon Austin,GK,Spurs,0.0
Luke Harris,MID,Fulham,0.0
Eric da Silva Moreira,MID,Nott'm Forest,0.0
Ben Winterburn,MID,Bournemouth,0.0
Kim Ji-soo,DEF,Brentford,0.0
Martial Godo,MID,Fulham,0.0
Hamed Traorè,MID,Bournemouth,0.0
Jayden Danns,FWD,Liverpool,0.0
Romain Faivre,MID,Bournemouth,0.0
George Earthy,MID,West Ham,0.0
Eiran Cashin,DEF,Brighton,0.0
Will Lankshear,FWD,Spurs,0.0
Gustavo Nunes Fernandes Gomes,MID,Brentford,0.0
Michael Obafemi,FWD,Burnley,0.0
Stefan Bajčetić Maquieira,MID,Liverpool,0.0
Caleb Kporha,DEF,Crystal Palace,0.0
Jeremy Sarmiento Morante,MID,Brighton,0.0
Ethan Wheatley,FWD,Man Utd,0.0
Julio Soler Barreto,DEF,Bournemouth,0.0
Ben Doak,MID,Liverpool,0.0
Joe White,MID,Newcastle,0.0
Claudio Echeverri,MID,Man City,0.0
Myles Peart-Harris,MID,Brentford,0.0
Asher Agbinone,MID,Crystal Palace,0.0
Alex Murphy,DEF,Newcastle,0.0
Ryan Trevitt,MID,Brentford,0.0
Andrey Nascimento dos Santos,MID,Chelsea,0.0
Jayden Meghoma,DEF,Brentford,0.0
James McConnell,MID,Liverpool,0.0
Kaelan Casey,DEF,West Ham,0.0
Zain Silcott-Duberry,MID,Bournemouth,0.0
Vitor de Oliveira Nunes dos Reis,DEF,Man City,0.0
Alfie Pond,DEF,Wolves,0.0
Remi Matthews,GK,Crystal Palace,0.0
Enso González Medina,MID,Wolves,0.0
Dominic Sadi,MID,Bournemouth,0.0
Tom King,GK,Wolves,0.0
Matai Akinmboni,DEF,Bournemouth,0.0
Lino da Cruz Sousa,DEF,Aston Villa,0.0
Ki-Jana Hoever,DEF,Wolves,0.0
Bastien Meupiyou Menadjou,DEF,Wolves,0.0
Brayden Clarke,DEF,Arsenal,0.0
Harrison Ashby,DEF,Newcastle,0.0
Ashley Phillips,DEF,Spurs,0.0
Bashir Humphreys,DEF,Burnley,0.0
Maldini Kacurri,DEF,Arsenal,0.0
Reece Welch,DEF,Everton,0.0
Amara Nallo,DEF,Liverpool,0.0
Rhys Williams,DEF,Liverpool,0.0
Josh Nichols,DEF,Arsenal,0.0
Rob Holding,DEF,Crystal Palace,0.0
Aarón Anselmino,DEF,Chelsea,0.0
Owen Dodgson,DEF,Burnley,0.0
Benjamin Arthur,DEF,Brentford,0.0
Joe Rodon,DEF,Leeds,0.0
Miodrag Pivaš,DEF,Newcastle,0.0
Charlie Tasker,DEF,Brighton,0.0
Jacob Slater,DEF,Brighton,0.0
Omar Richards,DEF,Nott'm Forest,0.0
Zach Abbott,DEF,Nott'm Forest,0.0
Benjamin Fredrick,DEF,Brentford,0.0
Samuel Amissah,DEF,Fulham,0.0
Daniel Adu-Adjei,FWD,Bournemouth,0.0
Martin Sherif,FWD,Everton,0.0
Callum Marshall,FWD,West Ham,0.0
Sean Neave,FWD,Newcastle,0.0
Iwan Morgan,FWD,Brentford,0.0
Zach Marsh,FWD,Crystal Palace,0.0
Alex Paulsen,GK,Bournemouth,0.0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0
Filip Marschall,GK,Aston Villa,0.0
Callan McKenna,GK,Bournemouth,0.0
Will Dennis,GK,Bournemouth,0.0
Carl Rushworth,GK,Brighton,0.0
Tom Heaton,GK,Man Utd,0.0
Mark Gillespie,GK,Newcastle,0.0
Ellery Balcombe,GK,Brentford,0.0
Dermot Mee,GK,Man Utd,0.0
Kjell Scherpen,GK,Brighton,0.0
Elyh Harrison,GK,Man Utd,0.0
Karl Hein,GK,Arsenal,0.0
Marcus Bettinelli,GK,Man City,0.0
Matthew Cox,GK,Brentford,0.0
Julian Eyestone,GK,Brentford,0.0
Joe Gauci,GK,Aston Villa,0.0
Steven Benda,GK,Fulham,0.0
Tommy Setford,GK,Arsenal,0.0
Gabriel Słonina,GK,Chelsea,0.0
Tom McGill,GK,Brighton,0.0
Karl Darlow,GK,Leeds,0.0
Callum Olusesi,MID,Spurs,0.0
Ismeal Kabia,MID,Arsenal,0.0
Granit Xhaka,MID,Sunderland,0.0
Samuel Iling-Junior,MID,Aston Villa,0.0
Joe Hodge,MID,Wolves,0.0
Tom Edozie,MID,Wolves,0.0
Yang Min-hyeok,MID,Spurs,0.0
Malcolm Ebiowei,MID,Crystal Palace,0.0
Enzo Barrenechea,MID,Aston Villa,0.0
Ben Broggio,MID,Aston Villa,0.0
Kaden Rodney,MID,Crystal Palace,0.0
Franco Umeh-Chibueze,MID,Crystal Palace,0.0
Callum Bates,MID,Everton,0.0
Coby Ebere,MID,Everton,0.0
Isaac Heath,MID,Everton,0.0
Ethan Ampadu,MID,Leeds,0.0
Darko Churlinov,MID,Burnley,0.0
Enock Agyei,MID,Burnley,0.0
Tyler Morton,MID,Liverpool,0.0
Trey Nyoni,MID,Liverpool,0.0
Andrew Moran,MID,Brighton,0.0
Adrian Mazilu,MID,Brighton,0.0
Joe Knight,MID,Brighton,0.0
Jayce Fitzgerald,MID,Man Utd,0.0
Jack Fletcher,MID,Man Utd,0.0
Sékou Koné,MID,Man Utd,0.0
Jack Moorhouse,MID,Man Utd,0.0
Jordan Henderson,MID,Brentford,0.0
Isaac Hayden,MID,Newcastle,0.0
Garang Kuol,MID,Newcastle,0.0
Lewis O'Brien,MID,Nott'm Forest,0.0
Kadan Young,MID,Aston Villa,0.0
Jamaldeen Jimoh-Aloba,MID,Aston Villa,0.0
Jenson Metcalfe,MID,Everton,0.0
