full_name,position,latest_team,proj_pts,rep_dyn,vorp_dyn,rec_bid_dyn,tier_dyn
Ollie Watkins,FWD,Aston Villa,189.65624541310115,22.751243465706096,166.90500194739508,36.91,1
Alexander Isak,FWD,Newcastle,185.2002376432322,22.751243465706096,162.4489941775261,35.93,1
Jarrod Bowen,FWD,West Ham,184.9789418234476,22.751243465706096,162.2276983577415,35.88,1
Erling Haaland,FWD,Man City,182.88590594659388,22.751243465706096,160.13466248088778,35.42,1
Chris Wood,FWD,Nott'm Forest,172.02713434907514,22.751243465706096,149.27589088336904,33.01,1
Yoane Wissa,FWD,Brentford,165.04579724531635,22.751243465706096,142.29455377961025,31.47,1
Jean-Philippe Mateta,FWD,Crystal Palace,152.18461921815435,22.751243465706096,129.43337575244826,28.63,1
Dominic Solanke-Mitchell,FWD,Spurs,130.17652024753556,22.751243465706096,107.42527678182948,23.76,1
Nicolas Jackson,FWD,Chelsea,128.96278978587966,22.751243465706096,106.21154632017355,23.49,1
Mohamed Salah,MID,Liverpool,190.13369757182815,89.77876687499393,100.35493069683424,22.19,1
Raúl Jiménez Rodríguez,FWD,Fulham,121.97335140782631,22.751243465706096,99.22210794212022,21.94,1
Kai Havertz,FWD,Arsenal,118.57503580921454,22.751243465706096,95.82379234350844,21.19,1
Jordan Pickford,GK,Everton,124.7898913299875,29.70943396226415,95.08045736772334,21.03,1
Cole Palmer,MID,Chelsea,183.98698965314645,89.77876687499393,94.20822277815252,20.84,1
João Pedro Junqueira de Jesus,FWD,Chelsea,116.90690153638884,22.751243465706096,94.15565807068276,20.82,2
David Raya Martín,GK,Arsenal,123.20165634942404,29.70943396226415,93.4922223871599,20.68,1
Bryan Mbeumo,MID,Man Utd,181.3918483515029,89.77876687499393,91.61308147650892,20.26,1
Danny Welbeck,FWD,Brighton,110.09746917478734,22.751243465706096,87.34622570908124,19.32,2
André Onana,GK,Man Utd,110.76762895028916,29.70943396226415,81.05819498802501,17.93,1
Bernd Leno,GK,Fulham,105.38419076059904,29.70943396226415,75.6747567983349,16.74,1
Bruno Borges Fernandes,MID,Man Utd,163.16945217131592,89.77876687499393,73.39068529632199,16.23,1
Rasmus Højlund,FWD,Man Utd,94.62293040347603,22.751243465706096,71.87168693776994,15.9,2
Emiliano Martínez Romero,GK,Aston Villa,100.8773614046754,29.70943396226415,71.16792744241127,15.74,1
William Saliba,DEF,Arsenal,131.98035700253826,62.18306531579047,69.79729168674778,15.44,1
Virgil van Dijk,DEF,Liverpool,128.90509996671983,62.18306531579047,66.72203465092936,14.76,1
Alisson Becker,GK,Liverpool,94.9378850606472,29.70943396226415,65.22845109838306,14.43,1
Joško Gvardiol,DEF,Man City,125.4962341787153,62.18306531579047,63.313168862924826,14.0,1
Ederson Santana de Moraes,GK,Man City,93.00628415942556,29.70943396226415,63.2968501971614,14.0,1
Matz Sels,GK,Nott'm Forest,92.9425710826104,29.70943396226415,63.233137120346235,13.98,1
Dean Henderson,GK,Crystal Palace,92.2999262046409,29.70943396226415,62.59049224237675,13.84,1
Matheus Santos Carneiro da Cunha,MID,Man Utd,151.49517830109252,89.77876687499393,61.71641142609859,13.65,1
Luis Díaz Marulanda,MID,Liverpool,150.0186612541681,89.77876687499393,60.239894379174174,13.32,1
Darwin Núñez Ribeiro,FWD,Liverpool,82.26807253968143,22.751243465706096,59.51682907397533,13.16,2
Jørgen Strand Larsen,FWD,Wolves,81.88537829164491,22.751243465706096,59.134134825938816,13.08,2
Robert Lynch Sánchez,GK,Chelsea,88.73620014550909,29.70943396226415,59.02676618324494,13.05,1
Rodrigo Muniz Carvalho,FWD,Fulham,80.77330909373732,22.751243465706096,58.02206562803123,12.83,2
José Malheiro de Sá,GK,Wolves,86.61077857997908,29.70943396226415,56.90134461771493,12.58,1
Morgan Gibbs-White,MID,Nott'm Forest,145.3853838959192,89.77876687499393,55.60661702092527,12.3,1
Liam Delap,FWD,Chelsea,77.85327895227618,22.751243465706096,55.10203548657009,12.19,2
Tyrick Mitchell,DEF,Crystal Palace,117.1675332293507,62.18306531579047,54.98446791356022,12.16,1
Bart Verbruggen,GK,Brighton,83.40987044309743,29.70943396226415,53.70043648083328,11.88,1
Norberto Bercique Gomes Betuncal,FWD,Everton,75.18460878493913,22.751243465706096,52.43336531923303,11.6,2
Fabian Schär,DEF,Newcastle,114.12824581777345,62.18306531579047,51.94518050198296,11.49,1
Antoine Semenyo,MID,Bournemouth,141.60792469290837,89.77876687499393,51.829157817914435,11.46,1
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,73.47041130640777,22.751243465706096,50.71916784070167,11.22,2
Son Heung-min,MID,Spurs,140.04921940236906,89.77876687499393,50.27045252737513,11.12,1
Bruno Guimarães Rodriguez Moura,MID,Newcastle,139.90344349606187,89.77876687499393,50.124676621067934,11.09,1
Nathan Collins,DEF,Brentford,110.49728092785766,62.18306531579047,48.31421561206719,10.69,1
Leandro Trossard,MID,Arsenal,137.52923645528458,89.77876687499393,47.75046958029064,10.56,1
Vitalii Mykolenko,DEF,Everton,109.93545614478649,62.18306531579047,47.75239082899601,10.56,1
Gabriel dos Santos Magalhães,DEF,Arsenal,107.63230001888212,62.18306531579047,45.44923470309166,10.05,1
Declan Rice,MID,Arsenal,135.10821870854485,89.77876687499393,45.32945183355089,10.03,1
Dan Burn,DEF,Newcastle,107.4487026037111,62.18306531579047,45.265637287920626,10.01,1
Eberechi Eze,MID,Crystal Palace,134.86380486706443,89.77876687499393,45.0850379920705,9.97,1
Daniel Muñoz Mejía,DEF,Crystal Palace,106.92114053460104,62.18306531579047,44.73807521881058,9.89,1
Nick Pope,GK,Newcastle,74.41073404876047,29.70943396226415,44.701300086496325,9.89,2
Alex Iwobi,MID,Fulham,133.93338814531924,89.77876687499393,44.15462127032531,9.77,1
James Tarkowski,DEF,Everton,106.30028113126257,62.18306531579047,44.11721581547209,9.76,1
Anthony Elanga,MID,Newcastle,133.6357714792554,89.77876687499393,43.85700460426146,9.7,1
Anthony Gordon,MID,Newcastle,133.39383611360788,89.77876687499393,43.61506923861394,9.65,1
Rayan Aït-Nouri,DEF,Man City,105.17509684935298,62.18306531579047,42.99203153356251,9.51,1
Alphonse Areola,GK,West Ham,72.37196880220664,29.70943396226415,42.66253483994249,9.44,2
Milos Kerkez,DEF,Liverpool,104.75600152248396,62.18306531579047,42.5729362066935,9.42,1
Murillo Costa dos Santos,DEF,Nott'm Forest,104.5224631083728,62.18306531579047,42.33939779258232,9.36,1
Antonee Robinson,DEF,Fulham,104.35032843748212,62.18306531579047,42.16726312169165,9.33,1
Guglielmo Vicario,GK,Spurs,71.58939604968609,29.70943396226415,41.87996208742194,9.26,2
Pedro Porro Sauceda,DEF,Spurs,103.97051755403248,62.18306531579047,41.78745223824201,9.24,1
Martin Ødegaard,MID,Arsenal,129.32717214398608,89.77876687499393,39.54840526899214,8.75,1
Justin Kluivert,MID,Bournemouth,127.18512122530773,89.77876687499393,37.40635435031379,8.27,1
Bukayo Saka,MID,Arsenal,126.91824854094612,89.77876687499393,37.139481665952175,8.21,1
Ezri Konsa Ngoyo,DEF,Aston Villa,98.2093676026997,62.18306531579047,36.02630228690923,7.97,1
Phil Foden,MID,Man City,125.59469787750348,89.77876687499393,35.81593100250956,7.92,1
Diogo Dalot Teixeira,DEF,Man Utd,97.9866528502084,62.18306531579047,35.803587534417915,7.92,1
Eddie Nketiah,FWD,Crystal Palace,57.864159296189406,22.751243465706096,35.11291583048331,7.77,2
Brennan Johnson,MID,Spurs,124.84291592510932,89.77876687499393,35.064149050115375,7.75,1
Marc Cucurella Saseta,DEF,Chelsea,96.65374316923568,62.18306531579047,34.47067785344521,7.62,1
Marc Guéhi,DEF,Crystal Palace,96.6286856459259,62.18306531579047,34.44562033013543,7.62,1
Jarrad Branthwaite,DEF,Everton,95.19883584186267,62.18306531579047,33.0157705260722,7.3,1
Ola Aina,DEF,Nott'm Forest,94.4552308629712,62.18306531579047,32.272165547180734,7.14,1
Aaron Ramsdale,GK,Newcastle,61.912645808454734,29.70943396226415,32.203211846190584,7.12,2
Dominik Szoboszlai,MID,Liverpool,121.77176146417862,89.77876687499393,31.99299458918469,7.08,1
Levi Samuels Colwill,DEF,Chelsea,93.77603958240952,62.18306531579047,31.592974266619052,6.99,1
Tomáš Souček,MID,West Ham,121.00075544264416,89.77876687499393,31.22198856765023,6.91,1
Jacob Murphy,MID,Newcastle,120.87657342462256,89.77876687499393,31.09780654962863,6.88,1
Illia Zabarnyi,DEF,Bournemouth,92.7106973277633,62.18306531579047,30.527632011972827,6.75,1
Gabriel Fernando de Jesus,FWD,Arsenal,53.21422792156946,22.751243465706096,30.462984455863364,6.74,3
Richarlison de Andrade,FWD,Spurs,52.318823044271525,22.751243465706096,29.56757957856543,6.54,3
Aaron Wan-Bissaka,DEF,West Ham,91.65877620657318,62.18306531579047,29.475710890782707,6.52,1
Keane Lewis-Potter,DEF,Brentford,91.43795708494312,62.18306531579047,29.25489176915265,6.47,1
Morgan Rogers,MID,Aston Villa,117.77173582275071,89.77876687499393,27.99296894775678,6.19,1
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,117.685745911582,89.77876687499393,27.906979036588055,6.17,1
Dejan Kulusevski,MID,Spurs,117.46592687203398,89.77876687499393,27.68715999704004,6.12,1
Alexis Mac Allister,MID,Liverpool,116.1498690355708,89.77876687499393,26.371102160576868,5.83,1
James Maddison,MID,Spurs,115.77010632966017,89.77876687499393,25.991339454666218,5.75,1
Enzo Fernández,MID,Chelsea,115.6150885325014,89.77876687499393,25.836321657507455,5.71,1
Gabriel Martinelli Silva,MID,Arsenal,115.25245360893636,89.77876687499393,25.473686733942415,5.63,1
Mitoma Kaoru,MID,Brighton,115.04295990118864,89.77876687499393,25.264193026194704,5.59,1
Mohammed Kudus,MID,Spurs,113.8036749657013,89.77876687499393,24.02490809070737,5.31,1
Rúben dos Santos Gato Alves Dias,DEF,Man City,85.86700418720035,62.18306531579047,23.68393887140988,5.24,1
Ibrahima Konaté,DEF,Liverpool,84.69710585605482,62.18306531579047,22.514040540264347,4.98,1
Lucas Digne,DEF,Aston Villa,84.46042445761796,62.18306531579047,22.27735914182749,4.93,1
Maximilian Kilman,DEF,West Ham,84.41991661677845,62.18306531579047,22.23685130098798,4.92,1
Andrew Robertson,DEF,Liverpool,83.12896568096433,62.18306531579047,20.945900365173856,4.63,1
Tino Livramento,DEF,Newcastle,82.9808059401695,62.18306531579047,20.79774062437903,4.6,1
Joshua Zirkzee,FWD,Man Utd,43.04989858544349,22.751243465706096,20.298655119737397,4.49,3
Youri Tielemans,MID,Aston Villa,109.9562468236994,89.77876687499393,20.177479948705468,4.46,1
Alejandro Garnacho Ferreyra,MID,Man Utd,109.3520327286721,89.77876687499393,19.57326585367817,4.33,1
Neco Williams,DEF,Nott'm Forest,81.04252545525735,62.18306531579047,18.859460139466876,4.17,1
Evan Ferguson,FWD,Brighton,41.424394577360175,22.751243465706096,18.67315111165408,4.13,3
Toti Gomes,DEF,Wolves,80.5906805289846,62.18306531579047,18.407615213194138,4.07,1
Jan Paul van Hecke,DEF,Brighton,80.51712622412944,62.18306531579047,18.33406090833897,4.05,1
Cody Gakpo,MID,Liverpool,107.75151174602117,89.77876687499393,17.972744871027217,3.97,1
Emerson Palmieri dos Santos,DEF,West Ham,78.93532455262826,62.18306531579047,16.752259236837787,3.7,1
Mikkel Damsgaard,MID,Brentford,105.53890425088636,89.77876687499393,15.760137375892429,3.49,1
Taiwo Awoniyi,FWD,Nott'm Forest,38.53710717276455,22.751243465706096,15.785863707058454,3.49,3
Kepa Arrizabalaga Revuelta,GK,Arsenal,45.403649557989176,29.70943396226415,15.694215595725026,3.47,2
Calvin Bassey,DEF,Fulham,76.41513255145502,62.18306531579047,14.232067235664545,3.15,1
Martin Dúbravka,GK,Burnley,43.859626124771935,29.70943396226415,14.150192162507786,3.13,2
Kevin Schade,MID,Brentford,103.24519901468533,89.77876687499393,13.466432139691392,2.98,1
Moisés Caicedo Corozo,MID,Chelsea,101.80613664296808,89.77876687499393,12.02736976797415,2.66,1
Dwight McNeil,MID,Everton,101.61514152411924,89.77876687499393,11.836374649125304,2.62,1
Lewis Hall,DEF,Newcastle,73.95081664522486,62.18306531579047,11.76775132943439,2.6,2
Joachim Andersen,DEF,Fulham,73.57914930040015,62.18306531579047,11.396083984609676,2.52,2
Callum Hudson-Odoi,MID,Nott'm Forest,100.84358664617702,89.77876687499393,11.064819771183082,2.45,1
Manuel Akanji,DEF,Man City,72.9700782739611,62.18306531579047,10.78701295817062,2.39,2
Christian Nørgaard,MID,Arsenal,100.54355515006276,89.77876687499393,10.764788275068824,2.38,1
Benjamin White,DEF,Arsenal,72.65505240687077,62.18306531579047,10.471987091080294,2.32,2
Nikola Milenković,DEF,Nott'm Forest,71.5678532363013,62.18306531579047,9.384787920510831,2.08,2
Matty Cash,DEF,Aston Villa,70.5775563065019,62.18306531579047,8.394490990711432,1.86,2
Callum Wilson,FWD,West Ham,30.920073716272334,22.751243465706096,8.168830250566238,1.81,3
Noni Madueke,MID,Arsenal,97.58879189385311,89.77876687499393,7.810025018859179,1.73,1
Odsonne Édouard,FWD,Crystal Palace,29.60295304968445,22.751243465706096,6.851709583978355,1.52,3
Pedro Lomba Neto,MID,Chelsea,96.17259333311736,89.77876687499393,6.393826458123428,1.41,1
Trevoh Chalobah,DEF,Chelsea,67.47058811194567,62.18306531579047,5.287522796155201,1.17,2
Niclas Füllkrug,FWD,West Ham,27.058373303567095,22.751243465706096,4.307129837860998,0.95,3
Kieran Trippier,DEF,Newcastle,66.24751921526864,62.18306531579047,4.064453899478167,0.9,2
Andreas Hoelgebaum Pereira,MID,Fulham,93.33301557357171,89.77876687499393,3.55424869857778,0.79,1
Marcus Rashford,MID,Man Utd,93.0769231069141,89.77876687499393,3.29815623192016,0.73,1
Idrissa Gana Gueye,MID,Everton,92.98796205124326,89.77876687499393,3.209195176249324,0.71,1
Pervis Estupiñán Tenorio,DEF,Brighton,65.39846457313853,62.18306531579047,3.2153992573480537,0.71,2
Chris Richards,DEF,Crystal Palace,65.07526450971157,62.18306531579047,2.892199193921101,0.64,2
John McGinn,MID,Aston Villa,92.61593251733564,89.77876687499393,2.8371656423417164,0.63,1
Pau Torres,DEF,Aston Villa,64.27740983221808,62.18306531579047,2.0943445164276113,0.46,2
Norberto Murara Neto,GK,Bournemouth,31.240815851539224,29.70943396226415,1.5313818892750746,0.34,2
João Victor Gomes da Silva,MID,Wolves,91.2931277279955,89.77876687499393,1.5143608530015626,0.33,1
Cristian Romero,DEF,Spurs,63.14050109795197,62.18306531579047,0.9574357821614968,0.21,2
Mateo Kovačić,MID,Man City,90.04995591844116,89.77876687499393,0.2711890434472224,0.06,1
Enes Ünal,FWD,Bournemouth,23.043572583660897,22.751243465706096,0.2923291179548002,0.06,3
Mads Hermansen,GK,West Ham,29.924054054054057,29.70943396226415,0.2146200917899037,0.05,2
Matt Doherty,DEF,Wolves,62.269449001213864,62.18306531579047,0.0863836854233923,0.02,2
Lucas Tolentino Coelho de Lima,MID,West Ham,89.77876687499393,89.77876687499393,0.0,0.0,1
Elliot Anderson,MID,Nott'm Forest,89.6445423042953,89.77876687499393,0.0,0.0,2
Lewis Cook,MID,Bournemouth,89.26206283634187,89.77876687499393,0.0,0.0,2
Ryan Gravenberch,MID,Liverpool,89.14562732384653,89.77876687499393,0.0,0.0,2
Harvey Barnes,MID,Newcastle,88.85617611683976,89.77876687499393,0.0,0.0,2
Dango Ouattara,MID,Bournemouth,86.98651402262749,89.77876687499393,0.0,0.0,2
Marcus Tavernier,MID,Bournemouth,86.6302790117866,89.77876687499393,0.0,0.0,2
Jack Harrison,MID,Leeds,85.43697360769079,89.77876687499393,0.0,0.0,2
Ryan Christie,MID,Bournemouth,85.17458086044684,89.77876687499393,0.0,0.0,2
Vitaly Janelt,MID,Brentford,84.97332862158697,89.77876687499393,0.0,0.0,2
Joelinton Cássio Apolinário de Lira,MID,Newcastle,82.90997013907987,89.77876687499393,0.0,0.0,2
Jérémy Doku,MID,Man City,82.27332106247307,89.77876687499393,0.0,0.0,2
Emile Smith Rowe,MID,Fulham,82.10487909680518,89.77876687499393,0.0,0.0,2
Amad Diallo,MID,Man Utd,81.19071112135437,89.77876687499393,0.0,0.0,2
Sandro Tonali,MID,Newcastle,79.1158243786449,89.77876687499393,0.0,0.0,2
Pape Matar Sarr,MID,Spurs,77.20099954228941,89.77876687499393,0.0,0.0,2
James Ward-Prowse,MID,West Ham,76.44357370284388,89.77876687499393,0.0,0.0,2
Adama Traoré Diarra,MID,Fulham,76.33258564405422,89.77876687499393,0.0,0.0,2
Carlos Baleba,MID,Brighton,76.24598332261131,89.77876687499393,0.0,0.0,2
Ismaïla Sarr,MID,Crystal Palace,75.43486781866629,89.77876687499393,0.0,0.0,2
Harry Wilson,MID,Fulham,73.24219944958965,89.77876687499393,0.0,0.0,2
Jack Hinshelwood,MID,Brighton,71.4317085117429,89.77876687499393,0.0,0.0,2
Will Hughes,MID,Crystal Palace,70.82375975694812,89.77876687499393,0.0,0.0,2
Jean-Ricner Bellegarde,MID,Wolves,70.24853031880563,89.77876687499393,0.0,0.0,2
Simon Adingra,MID,Sunderland,69.5435401195405,89.77876687499393,0.0,0.0,2
Ryan Yates,MID,Nott'm Forest,69.24366948828174,89.77876687499393,0.0,0.0,2
Sander Berge,MID,Fulham,69.03421066387148,89.77876687499393,0.0,0.0,2
Jefferson Lerma Solís,MID,Crystal Palace,68.87215065258042,89.77876687499393,0.0,0.0,2
Ross Barkley,MID,Aston Villa,68.86996916993664,89.77876687499393,0.0,0.0,2
Curtis Jones,MID,Liverpool,68.85803885196437,89.77876687499393,0.0,0.0,2
Amadou Onana,MID,Aston Villa,68.38423311423465,89.77876687499393,0.0,0.0,2
Leon Bailey,MID,Aston Villa,67.56725940867439,89.77876687499393,0.0,0.0,2
Facundo Buonanotte,MID,Brighton,66.67967992467645,89.77876687499393,0.0,0.0,2
Nicolás Domínguez,MID,Nott'm Forest,64.69421592169111,89.77876687499393,0.0,0.0,2
Saša Lukić,MID,Fulham,64.19671802513852,89.77876687499393,0.0,0.0,2
Malo Gusto,DEF,Chelsea,62.18306531579047,62.18306531579047,0.0,0.0,2
James Garner,MID,Everton,62.13258430755227,89.77876687499393,0.0,0.0,2
Iliman Ndiaye,MID,Everton,61.83600993307685,89.77876687499393,0.0,0.0,2
Tosin Adarabioyo,DEF,Chelsea,61.51315732173537,62.18306531579047,0.0,0.0,2
Rico Lewis,DEF,Man City,61.4758763918316,62.18306531579047,0.0,0.0,2
Adam Smith,DEF,Bournemouth,61.16393729561584,62.18306531579047,0.0,0.0,2
Timothy Castagne,DEF,Fulham,61.03179293367618,62.18306531579047,0.0,0.0,2
Maxence Lacroix,DEF,Crystal Palace,59.819386349428335,62.18306531579047,0.0,0.0,2
Lewis Dunk,DEF,Brighton,59.68586865860835,62.18306531579047,0.0,0.0,2
Sean Longstaff,MID,Leeds,58.02634954140469,89.77876687499393,0.0,0.0,2
Kobbie Mainoo,MID,Man Utd,57.917725279452874,89.77876687499393,0.0,0.0,2
Boubacar Kamara,MID,Aston Villa,57.86857221768009,89.77876687499393,0.0,0.0,2
Ethan Pinnock,DEF,Brentford,57.79317059662189,62.18306531579047,0.0,0.0,2
Matheus Nunes,DEF,Man City,56.93064010696939,62.18306531579047,0.0,0.0,2
Hwang Hee-chan,MID,Wolves,56.83443883535961,89.77876687499393,0.0,0.0,2
